주소,목적지
서울특별시 광진구 자양제2동,729
서울특별시 서대문구 남가좌제1동,723
서울특별시 송파구 마천2동,722
서울특별시 성동구 성수1가제1동,713
서울특별시 도봉구 창제1동,709
서울특별시 용산구 한남동,706
서울특별시 영등포구 양평제2동,704
서울특별시 은평구 응암제3동,694
서울특별시 서대문구 충현동,689
서울특별시 중랑구 면목제2동,685
서울특별시 서대문구 홍제제2동,684
서울특별시 성동구 행당제1동,676
서울특별시 성북구 장위제1동,674
서울특별시 강북구 수유제2동,671
서울특별시 양천구 신정2동,669
서울특별시 용산구 남영동,669
서울특별시 노원구 상계10동,667
서울특별시 관악구 난곡동,661
서울특별시 강서구 화곡제1동,661
서울특별시 금천구 가산동,658
서울특별시 강남구 삼성1동,658
서울특별시 구로구 신도림동,654
서울특별시 관악구 행운동,646
서울특별시 금천구 독산제3동,642
서울특별시 마포구 공덕동,638
서울특별시 영등포구 당산제1동,636
서울특별시 동대문구 전농제3동,635
서울특별시 성북구 월곡제1동,635
서울특별시 강동구 성내제2동,629
서울특별시 영등포구 신길제3동,623
서울특별시 노원구 상계8동,618
서울특별시 양천구 신월3동,616
서울특별시 서대문구 홍제제3동,615
서울특별시 동대문구 답십리제4동,614
서울특별시 중구 광희동,613
서울특별시 송파구 석촌동,613
서울특별시 강북구 수유제3동,612
서울특별시 광진구 자양제1동,611
서울특별시 양천구 목4동,611
서울특별시 도봉구 방학제3동,610
서울특별시 관악구 삼성동,606
서울특별시 서대문구 홍제제1동,604
서울특별시 영등포구 신길제1동,603
서울특별시 영등포구 도림동,600
서울특별시 관악구 서림동,599
서울특별시 관악구 미성동,594
서울특별시 종로구 종로5.6가동,593
서울특별시 강남구 삼성2동,581
서울특별시 중구 신당제3동,576
서울특별시 동대문구 용두동,568
서울특별시 동대문구 장안제2동,565
서울특별시 송파구 방이2동,563
서울특별시 중구 소공동,557
서울특별시 강서구 염창동,551
서울특별시 노원구 중계본동,547
서울특별시 동대문구 제기제2동,546
서울특별시 중랑구 면목본동,536
서울특별시 양천구 신월1동,532
서울특별시 용산구 이촌제1동,530
서울특별시 영등포구 문래동,526
서울특별시 동대문구 답십리제2동,525
서울특별시 중구 황학동,524
서울특별시 영등포구 신길제6동,522
서울특별시 강서구 화곡본동,521
서울특별시 종로구 혜화동,521
서울특별시 도봉구 창제3동,518
서울특별시 동대문구 전농제2동,517
서울특별시 금천구 시흥제2동,515
서울특별시 양천구 신월7동,513
서울특별시 서대문구 홍은제1동,512
서울특별시 동대문구 장안제3동,512
서울특별시 관악구 난향동,512
서울특별시 양천구 목3동,510
