주소,출발지
서울특별시 은평구 응암제3동,700
서울특별시 강북구 수유제1동,699
서울특별시 중랑구 면목제2동,699
서울특별시 용산구 한남동,697
서울특별시 강북구 번제1동,690
서울특별시 용산구 남영동,689
서울특별시 관악구 행운동,689
서울특별시 서대문구 홍제제2동,686
서울특별시 도봉구 창제5동,682
서울특별시 동작구 상도제2동,680
서울특별시 강서구 화곡제1동,675
서울특별시 성북구 월곡제1동,673
서울특별시 도봉구 쌍문제4동,671
서울특별시 송파구 잠실6동,668
서울특별시 강동구 성내제2동,667
서울특별시 노원구 상계10동,663
서울특별시 동대문구 용두동,662
서울특별시 노원구 상계5동,661
서울특별시 성동구 행당제1동,655
서울특별시 양천구 신월3동,648
서울특별시 서대문구 홍제제3동,645
서울특별시 금천구 독산제3동,645
서울특별시 중랑구 면목제7동,643
서울특별시 서초구 서초3동,641
서울특별시 강북구 수유제3동,640
서울특별시 영등포구 도림동,638
서울특별시 관악구 미성동,637
서울특별시 금천구 가산동,637
서울특별시 관악구 난곡동,635
서울특별시 송파구 석촌동,635
서울특별시 송파구 방이2동,633
서울특별시 관악구 삼성동,628
서울특별시 성동구 성수1가제1동,627
서울특별시 서대문구 충현동,625
서울특별시 서대문구 남가좌제1동,618
서울특별시 송파구 잠실2동,614
서울특별시 동대문구 장안제2동,608
서울특별시 영등포구 신길제6동,607
서울특별시 양천구 신월7동,605
서울특별시 관악구 난향동,603
서울특별시 노원구 상계8동,602
서울특별시 동대문구 제기제2동,597
서울특별시 서초구 서초4동,597
서울특별시 구로구 신도림동,596
서울특별시 중랑구 면목본동,594
서울특별시 동대문구 전농제2동,586
서울특별시 성북구 장위제1동,584
서울특별시 노원구 상계9동,583
서울특별시 강동구 성내제1동,579
서울특별시 양천구 목4동,575
서울특별시 중구 신당제3동,570
서울특별시 용산구 원효로제1동,568
서울특별시 중구 광희동,563
서울특별시 영등포구 신길제3동,556
서울특별시 은평구 불광제2동,553
서울특별시 중구 소공동,551
서울특별시 금천구 시흥제2동,550
서울특별시 강서구 화곡제4동,545
서울특별시 광진구 자양제3동,544
서울특별시 용산구 이촌제1동,542
서울특별시 영등포구 문래동,540
서울특별시 서대문구 홍제제1동,539
서울특별시 서대문구 천연동,538
서울특별시 서대문구 홍은제1동,535
서울특별시 관악구 서림동,531
서울특별시 영등포구 당산제1동,530
서울특별시 마포구 공덕동,530
서울특별시 성북구 장위제2동,525
서울특별시 영등포구 영등포본동,524
서울특별시 광진구 자양제1동,518
서울특별시 강남구 삼성2동,518
서울특별시 동대문구 장안제3동,517
서울특별시 강북구 삼양동,513
서울특별시 강동구 암사제3동,512
서울특별시 도봉구 창제3동,502
서울특별시 중구 황학동,501
서울특별시 관악구 중앙동,499
서울특별시 종로구 종로5.6가동,497
서울특별시 노원구 중계본동,493
서울특별시 광진구 군자동,492
서울특별시 동작구 상도제4동,492
서울특별시 송파구 거여1동,491
서울특별시 양천구 신월1동,488
서울특별시 동작구 상도제3동,488
서울특별시 성동구 성수2가제3동,488
서울특별시 영등포구 양평제1동,485
서울특별시 양천구 목3동,482
서울특별시 마포구 서강동,480
서울특별시 관악구 청림동,480
서울특별시 동대문구 이문제3동,476
서울특별시 서초구 서초2동,475
서울특별시 송파구 마천1동,463
서울특별시 종로구 혜화동,463
서울특별시 성북구 돈암제2동,461
서울특별시 도봉구 창제2동,461
서울특별시 동대문구 답십리제2동,460
서울특별시 영등포구 신길제1동,457
서울특별시 강남구 압구정동,452
서울특별시 강서구 화곡본동,448
서울특별시 강동구 명일제2동,448
서울특별시 용산구 청파동,446
서울특별시 구로구 구로제4동,444
서울특별시 영등포구 당산제2동,442
서울특별시 은평구 수색동,432
서울특별시 동작구 사당제2동,432
서울특별시 송파구 가락2동,432
서울특별시 관악구 대학동,425
서울특별시 구로구 개봉제2동,423
서울특별시 양천구 신월5동,421
서울특별시 광진구 능동,418
서울특별시 종로구 무악동,418
서울특별시 동작구 노량진제1동,415
서울특별시 성동구 행당제2동,411
서울특별시 서초구 방배2동,405
서울특별시 서초구 방배4동,404
서울특별시 송파구 잠실본동,404
서울특별시 동작구 사당제1동,398
서울특별시 용산구 용문동,397
서울특별시 금천구 시흥제4동,397
서울특별시 강남구 개포2동,394
서울특별시 관악구 신림동,394
서울특별시 성북구 장위제3동,394
서울특별시 동대문구 답십리제3동,394
서울특별시 성북구 보문동,391
서울특별시 성북구 동선동,390
서울특별시 도봉구 쌍문제1동,388
서울특별시 도봉구 방학제2동,387
서울특별시 성동구 금호2.3가동,387
서울특별시 강서구 등촌제1동,386
서울특별시 중랑구 면목제5동,385
서울특별시 송파구 잠실3동,382
서울특별시 용산구 후암동,376
서울특별시 용산구 효창동,374
서울특별시 성동구 금호1가동,374
서울특별시 은평구 갈현제1동,374
서울특별시 마포구 망원제2동,371
서울특별시 중구 신당제6동,371
서울특별시 강동구 암사제2동,369
서울특별시 서초구 방배1동,369
서울특별시 광진구 중곡제1동,366
서울특별시 성북구 성북동,365
서울특별시 용산구 서빙고동,364
서울특별시 은평구 신사제2동,364
서울특별시 종로구 평창동,363
서울특별시 중구 중림동,360
서울특별시 구로구 구로제1동,360
서울특별시 동대문구 제기제1동,360
서울특별시 강남구 대치1동,360
서울특별시 종로구 부암동,359
서울특별시 성북구 정릉제4동,359
서울특별시 용산구 원효로제2동,359
서울특별시 동작구 노량진제2동,358
서울특별시 동대문구 휘경제1동,358
서울특별시 강서구 화곡제3동,356
서울특별시 양천구 신월2동,351
서울특별시 성북구 돈암제1동,351
서울특별시 중구 신당제4동,349
서울특별시 관악구 인헌동,348
서울특별시 관악구 조원동,347
서울특별시 종로구 창신제1동,343
서울특별시 중랑구 묵제2동,339
서울특별시 구로구 고척제2동,336
서울특별시 성북구 정릉제2동,334
서울특별시 종로구 숭인제2동,331
서울특별시 구로구 가리봉동,331
서울특별시 서초구 잠원동,331
서울특별시 구로구 개봉제3동,330
서울특별시 성동구 송정동,327
서울특별시 강동구 고덕제2동,325
서울특별시 용산구 이태원제1동,322
서울특별시 성동구 왕십리제2동,319
서울특별시 강북구 미아동,319
서울특별시 금천구 시흥제5동,318
서울특별시 마포구 합정동,316
서울특별시 중구 신당제5동,315
서울특별시 강남구 논현2동,314
서울특별시 강서구 화곡제8동,312
서울특별시 강남구 대치2동,311
서울특별시 강동구 성내제3동,309
서울특별시 강서구 등촌제2동,308
서울특별시 관악구 신사동,304
서울특별시 성북구 정릉제1동,303
서울특별시 성동구 성수1가제2동,301
서울특별시 관악구 남현동,299
서울특별시 송파구 오륜동,295
서울특별시 광진구 광장동,294
서울특별시 서대문구 북가좌제1동,293
서울특별시 송파구 풍납1동,290
서울특별시 강남구 역삼2동,290
서울특별시 강남구 청담동,288
서울특별시 마포구 연남동,288
서울특별시 양천구 신월4동,287
서울특별시 동작구 사당제3동,287
서울특별시 양천구 신월6동,285
서울특별시 마포구 신수동,279
서울특별시 송파구 송파1동,278
서울특별시 동대문구 장안제4동,277
서울특별시 서초구 방배3동,275
서울특별시 성동구 옥수동,274
서울특별시 강서구 화곡제2동,271
서울특별시 강남구 개포4동,269
서울특별시 강남구 대치4동,269
서울특별시 송파구 문정1동,269
서울특별시 영등포구 신길제4동,258
서울특별시 강남구 도곡2동,256
서울특별시 성동구 성수2가제1동,256
서울특별시 성동구 금호4가동,254
서울특별시 성북구 정릉제3동,251
서울특별시 광진구 자양제4동,250
서울특별시 강남구 논현1동,241
서울특별시 송파구 송파2동,237
서울특별시 영등포구 신길제5동,237
서울특별시 동대문구 전농제1동,235
서울특별시 관악구 신원동,235
서울특별시 양천구 신정1동,234
서울특별시 서초구 반포3동,233
서울특별시 양천구 목2동,230
서울특별시 송파구 잠실7동,227
서울특별시 영등포구 대림제2동,227
서울특별시 송파구 가락1동,219
서울특별시 서초구 방배본동,218
서울특별시 중랑구 망우제3동,217
서울특별시 종로구 명륜3가동,216
서울특별시 동대문구 답십리제1동,204
서울특별시 송파구 삼전동,201
서울특별시 중구 필동,198
서울특별시 동작구 사당제5동,190
서울특별시 용산구 용산2가동,177
서울특별시 송파구 잠실4동,172
서울특별시 금천구 독산제4동,169
서울특별시 금천구 시흥제3동,166
서울특별시 종로구 삼청동,164
서울특별시 영등포구 신길제7동,161
서울특별시 동대문구 이문제2동,161
