기준일,차량운행,접수건,탑승건,평균대기시간
2019-01-01,0.06125574272588058,0.15843547224224946,0.13412953605879652,32.8
2019-01-02,0.4088820826952527,0.858507570295602,0.7168121267799725,36.1
2019-01-03,0.4058192955589587,0.8278658976207642,0.7602204869085898,41.1
2019-01-04,0.4012251148545176,0.8179524152847873,0.7503445107946716,39.2
2019-01-05,0.06584992343032159,0.2725306416726748,0.24712907671107026,41.9
2019-01-06,0.04594180704441042,0.23936553713049746,0.24621038125861278,35.5
2019-01-07,0.4287901990811639,0.8950973323720259,0.808911345888838,35.9
2019-01-08,0.3644716692189893,0.808759913482336,0.7822691777675701,48.1
2019-01-09,0.3108728943338438,0.7806416726748377,0.7406982085438678,53.5
2019-01-10,0.3705972434915773,0.8136265320836338,0.7788240698208544,48.6
2019-01-11,0.41194486983154677,0.8404830569574622,0.7887000459347726,41.6
2019-01-12,0.06278713629402755,0.2939798125450613,0.2622875516766192,45.2
2019-01-13,0.02909647779479324,0.22909156452775775,0.2395498392282958,40.0
2019-01-14,0.39663093415007655,0.8469718817591925,0.7978870004593477,38.5
2019-01-15,0.3537519142419602,0.78478731074261,0.7659623334864492,47.9
2019-01-16,0.32159264931087295,0.7810021629416006,0.745751033532384,51.9
2019-01-17,0.3721286370597243,0.8138067772170151,0.7781350482315113,48.7
2019-01-18,0.41960183767228176,0.830930064888248,0.7746899402847955,36.8
2019-01-19,0.02297090352220521,0.2626171593366979,0.2255397335783188,74.4
2019-01-20,0.030627871362940262,0.25594808940158614,0.2625172255397336,46.6
2019-01-21,0.4088820826952527,0.8037130497476568,0.8047772163527791,44.4
2019-01-22,0.3614088820826953,0.7801009372746935,0.787781350482315,50.4
2019-01-23,0.33843797856049007,0.7555875991348233,0.7443729903536977,59.4
2019-01-24,0.3614088820826953,0.7687454938716655,0.7372531005971521,64.2
2019-01-25,0.40428790199081166,0.7842465753424658,0.7549379880569591,53.9
2019-01-26,0.05819295558958654,0.2750540735400144,0.24644005512172718,59.1
2019-01-27,0.02909647779479324,0.2433309300648882,0.24575103353238403,41.5
2019-01-28,0.444104134762634,0.8864455659697188,0.8311897106109325,40.9
2019-01-29,1.0,0.7959625090122566,0.7570050528249885,63.9
2019-01-30,0.332312404287902,0.7680245133381398,0.7262287551676618,72.0
2019-01-31,0.3614088820826953,0.7759552992069214,0.7241616903996326,70.3
2019-02-01,0.3476263399693721,0.7550468637346792,0.6995865870463942,68.0
2019-02-02,0.0995405819295559,0.28208363374188894,0.25172255397335785,29.5
2019-02-03,0.019908116385911168,0.21377072819033882,0.21750114836931556,39.7
2019-02-04,0.05972434915773356,0.19430425378514776,0.18190169958658703,24.7
2019-02-05,0.05053598774885143,0.1905191059841384,0.1720257234726688,41.0
2019-02-06,0.08728943338437978,0.220620043258832,0.20739549839228294,31.0
2019-02-07,0.3705972434915773,0.8494953136265321,0.7733118971061093,41.6
2019-02-08,0.3644716692189893,0.8065969718817592,0.7806614607257694,51.1
2019-02-09,0.08728943338437978,0.28677000720980533,0.2675700505282499,34.9
2019-02-10,0.019908116385911168,0.2213410237923576,0.23334864492420765,42.8
2019-02-11,0.33690658499234305,0.7993871665465032,0.776757005052825,64.7
2019-02-12,0.3782542113323124,0.8348954578226387,0.8215434083601287,59.2
2019-02-13,0.3261868300153139,0.8134462869502523,0.7774460266421681,60.4
2019-02-14,0.3690658499234304,0.8017303532804614,0.7829581993569132,55.1
2019-02-15,0.35068912710566613,0.8067772170151406,0.7432246210381259,60.0
2019-02-16,0.05972434915773356,0.28478731074260993,0.24965548920532843,62.1
2019-02-17,0.04134762633996936,0.2611751982696467,0.2703261368856224,42.5
2019-02-18,0.35987748851454826,0.7959625090122566,0.7696371152962793,66.9
2019-02-19,0.33078101071975496,0.8109228550829127,0.7544786403307304,51.2
2019-02-21,0.34303215926493114,0.8019105984138428,0.7781350482315113,65.5
2019-02-22,0.34456355283307816,0.7901946647440519,0.7588424437299035,60.2
2019-02-23,0.06891271056661563,0.3125450612833453,0.27928341754708313,61.5
2019-02-24,0.02143950995405819,0.24693583273251618,0.2583830960036748,47.9
2019-02-25,0.35834609494640124,0.8193943763518385,0.7882406982085439,53.9
2019-02-26,0.3537519142419602,0.7795602018745493,0.7664216812126781,63.8
2019-02-27,0.3200612557427259,0.8006488824801731,0.7742305925585669,59.8
2019-02-28,0.33843797856049007,0.7772170151405912,0.7248507119889758,68.3
2019-03-01,0.05206738131699845,0.26478010093727467,0.2324299494717501,41.9
2019-03-02,0.0,0.25252343186733955,0.2285254937988057,54.3
2019-03-03,0.04287901990811638,0.26009372746935827,0.26711070280202115,35.8
2019-03-04,0.3108728943338438,0.8314708002883922,0.7928341754708315,56.6
2019-03-05,0.3399693721286371,0.8368781542898341,0.8107487367937529,55.9
2019-03-06,0.33078101071975496,0.8211968276856525,0.7887000459347726,59.4
2019-03-07,0.32312404287901997,0.8199351117519826,0.7804317868626551,62.1
2019-03-08,0.29402756508422667,0.7746935832732517,0.7429949471750115,69.7
2019-03-09,0.05359877488514547,0.3026315789473684,0.2746899402847956,47.4
2019-03-10,0.02143950995405819,0.2501802451333814,0.2563160312356454,44.6
2019-03-11,0.324655436447167,0.8430064888248017,0.7916858061552596,59.8
2019-03-12,0.32159264931087295,0.8161499639509733,0.8017914561322921,65.9
2019-03-13,0.33078101071975496,0.8341744772891132,0.8050068902158933,62.4
2019-03-14,0.34303215926493114,0.7937995674116799,0.7733118971061093,70.7
2019-03-15,0.39509954058192953,0.8257029560201874,0.7758383096003676,59.7
